"Cluster","Total_Points","Centroid_Lat","Centroid_Lng","Avg_Severity","Avg_Rank","Pct_Traffic_Signal","Pct_Junction","Pct_Crossing","Pct_Station","Peak_Hour","Weekend_Prop"
111,102,28.488020298304,-81.4146789492757,2,1,0,0,100,0,11,0
21,101,28.5365321683168,-81.4074783663366,3,1,0,0,0,0,8,100
184,101,28.4424478712871,-81.401918,2,2,0,0,0,0,12,0
344,101,28.5705462970297,-81.4092198811881,3,1,0,0,0,0,6,0
391,101,28.5192082374266,-81.4049605045642,2,1,0,0,0,0,7,0
592,101,28.5231955401261,-81.4052719969025,2,1,0,0,0,0,2,100
48,100,28.55639285,-81.40117663,3,1,0,0,0,0,9,0
136,100,28.44204258,-81.40330429,2,2,0,0,0,0,17,0
495,100,28.51546774,-81.39174862,2,1,0,0,0,100,17,0
550,99,28.4459759090909,-81.4031171212121,2,2,0,0,100,0,16,100
554,99,28.546845030303,-81.4273097979798,2,1,0,0,100,100,16,100
617,99,28.4886941313131,-81.4174771616162,2,1,0,0,100,0,12,100
81,98,28.5430493469388,-81.4086286632653,3,1,0,0,0,0,9,0
631,98,28.499051326797,-81.4347041466471,2,1,0,0,0,0,3,100
31,97,28.5454340824742,-81.4138521030928,3,1,0,0,0,0,6,0
42,97,28.5382588762887,-81.4160070206186,2,1,0,0,100,0,6,0
77,97,28.5475939896907,-81.4049162783505,3,1,0,0,0,0,7,0
140,97,28.5321765051546,-81.4209376185567,3,1,0,0,0,0,7,100
205,97,28.5446242886598,-81.4002591649485,3,1,0,0,0,0,17,0
438,97,28.4506622408016,-81.4020191603094,2,2,0,0,0,0,17,0
556,97,28.4343176804124,-81.4030003814433,2,2,0,0,100,0,16,0
563,97,28.4512542268041,-81.4027078762887,2,2,0,0,0,0,17,100
3,96,28.5200340520833,-81.3954311354167,2,1,0,0,100,0,19,0
270,96,28.4369717284622,-81.4016782144473,2,2,0,0,0,0,14,0
536,96,28.4440678229167,-81.4016594166667,2,2,0,0,0,0,15,0
623,96,28.5022728560701,-81.4116704814309,2,1,0,0,0,0,0,100
58,94,28.5530385744681,-81.3930242446808,3,1,0,0,0,0,6,0
338,94,28.5076844558813,-81.3627077355564,2,1,100,0,100,0,5,0
324,93,28.5047163584113,-81.3896748716771,2,1,100,0,100,0,5,100
142,91,28.5443218461538,-81.400804967033,3,1,0,0,0,0,13,100
224,91,28.5275542637363,-81.4107094175824,2,1,0,0,100,0,9,0
269,91,28.5048668681319,-81.4023211758242,2,1,0,0,100,0,6,0
316,91,28.5332505164835,-81.4119706703297,3,1,0,0,0,0,7,0
317,91,28.5356280549451,-81.4156753076923,3,1,0,0,0,0,9,0
364,91,28.5484022197802,-81.4112652307692,3,1,0,0,0,0,16,100
457,91,28.4289706043956,-81.4032366593407,2,2,0,0,100,0,17,0
483,91,28.4446207465096,-81.4013493580982,2,2,0,0,0,0,14,0
13,90,28.5639727,-81.3973346666667,3,1,0,0,0,0,18,0
223,90,28.5108937666667,-81.4028520888889,2,1,100,0,100,0,5,0
321,90,28.5092277555556,-81.3879751222222,2,1,100,0,100,0,5,0
409,90,28.5146694777778,-81.3853035888889,2,1,0,0,0,100,15,0
484,90,28.4537779555556,-81.4019129111111,2,2,0,0,0,0,17,0
638,90,28.4917920861476,-81.3776786443002,2,1,0,0,0,0,1,0
534,89,28.4430490561798,-81.4018243595506,2,2,0,0,100,0,15,0
601,89,28.506456614657,-81.4059207631299,2,1,0,0,0,0,3,0
648,89,28.5175076861083,-81.3915858925054,2,1,0,0,0,0,6,100
522,88,28.4539837914224,-81.4442814709651,2,1,0,0,100,0,19,100
606,88,28.4446137840909,-81.4019816931818,2,2,0,0,0,0,13,0
250,87,28.4872193333333,-81.427583091954,2,1,0,0,100,0,20,100
458,87,28.5047720229885,-81.3996402758621,2,1,0,0,100,0,19,0
503,87,28.437429908046,-81.4021318045977,2,2,0,0,0,0,16,100
546,86,28.5243744870887,-81.4016286201584,2,1,0,0,0,0,3,100
632,86,28.521929633436,-81.3756782499438,2,1,0,0,0,0,1,100
132,85,28.5248079294118,-81.4057731647059,3,1,0,0,0,0,16,0
288,85,28.5158976235294,-81.3729244705882,2,1,0,0,100,0,11,0
